"Date","Price","Open","High","Low","Vol.","Change %"
"01/30/2026","338.00","340.00","340.00","332.29","31.02M","-0.07%"
"01/29/2026","338.25","340.30","342.29","326.54","39.79M","0.67%"
"01/28/2026","336.01","336.06","337.54","331.94","27.43M","0.44%"
"01/27/2026","334.55","335.36","337.91","333.48","21.64M","0.39%"
"01/26/2026","333.26","327.80","335.84","327.00","26.04M","1.63%"
"01/23/2026","327.93","332.48","333.69","327.45","27.28M","-0.79%"
"01/22/2026","330.54","334.45","335.15","328.75","26.25M","0.66%"
"01/21/2026","328.38","320.92","332.48","319.35","35.39M","1.98%"
"01/20/2026","322.00","320.87","327.73","320.43","35.36M","-2.42%"
"01/16/2026","330.00","334.41","334.65","327.70","40.34M","-0.84%"
"01/15/2026","332.78","337.65","337.69","330.74","28.44M","-0.91%"
"01/14/2026","335.84","335.06","336.52","330.48","28.53M","-0.04%"
"01/13/2026","335.97","334.95","340.49","333.62","33.52M","1.24%"
"01/12/2026","331.86","325.80","334.04","325.00","33.92M","1.00%"
"01/09/2026","328.57","327.09","330.83","325.80","26.21M","0.96%"
"01/08/2026","325.44","328.96","330.32","321.50","31.90M","1.07%"
"01/07/2026","321.98","314.36","326.15","314.19","35.10M","2.43%"
"01/06/2026","314.34","316.40","320.94","311.78","31.21M","-0.70%"
"01/05/2026","316.54","317.65","319.02","314.63","30.20M","0.44%"
"01/02/2026","315.15","316.90","322.50","310.33","32.01M","0.69%"
"12/31/2025","313.00","312.85","314.58","311.44","16.38M","-0.27%"
"12/30/2025","313.85","312.50","316.95","312.46","17.38M","0.09%"
"12/29/2025","313.56","311.36","314.02","310.62","19.62M","0.02%"
"12/26/2025","313.51","314.48","315.08","312.27","10.90M","-0.18%"
"12/24/2025","314.09","314.77","315.08","311.92","10.10M","-0.08%"
"12/23/2025","314.35","309.63","314.94","309.32","25.48M","1.48%"
"12/22/2025","309.78","309.88","310.13","305.30","26.43M","0.85%"
"12/19/2025","307.16","301.73","307.25","300.97","59.94M","1.55%"
"12/18/2025","302.46","301.72","303.96","299.23","33.52M","1.93%"
"12/17/2025","296.72","308.01","308.09","296.12","43.93M","-3.21%"
"12/16/2025","306.57","304.95","310.77","302.59","30.59M","-0.54%"
"12/15/2025","308.22","311.32","311.42","304.88","29.15M","-0.35%"
"12/12/2025","309.29","313.70","314.87","305.56","35.94M","-1.01%"
"12/11/2025","312.43","320.08","321.12","308.60","42.35M","-2.43%"
"12/10/2025","320.21","315.83","321.31","314.68","33.43M","0.99%"
"12/09/2025","317.08","312.37","317.99","311.89","30.19M","1.07%"
"12/08/2025","313.72","320.05","320.44","311.22","33.91M","-2.35%"
"12/05/2025","321.27","319.49","323.16","319.17","28.85M","1.15%"
"12/04/2025","317.62","322.23","322.36","314.70","31.24M","-0.63%"
"12/03/2025","319.63","315.89","321.58","314.10","41.84M","1.21%"
"12/02/2025","315.81","316.74","318.38","313.91","35.85M","0.29%"
"12/01/2025","314.89","317.70","319.85","313.89","41.18M","-1.65%"
"11/28/2025","320.18","323.36","326.85","316.79","26.02M","0.07%"
"11/26/2025","319.95","320.68","324.50","316.79","51.37M","-1.08%"
"11/25/2025","323.44","326.21","328.83","317.65","88.63M","1.53%"
"11/24/2025","318.58","311.13","319.48","309.60","85.17M","6.31%"
"11/21/2025","299.66","296.42","303.92","293.85","74.14M","3.53%"
"11/20/2025","289.45","304.54","306.42","288.67","62.03M","-1.15%"
"11/19/2025","292.81","287.16","303.81","286.63","68.20M","3.00%"
"11/18/2025","284.28","287.92","288.80","278.20","49.16M","-0.26%"
"11/17/2025","285.02","285.77","293.95","283.57","52.67M","3.11%"
"11/14/2025","276.41","271.40","278.56","270.70","31.65M","-0.78%"
"11/13/2025","278.57","282.34","282.84","277.24","29.49M","-2.84%"
"11/12/2025","286.71","291.67","292.01","283.69","24.83M","-1.58%"
"11/11/2025","291.31","287.74","291.92","287.32","19.84M","0.42%"
"11/10/2025","290.10","284.42","290.80","282.86","29.56M","4.04%"
"11/07/2025","278.83","283.20","283.78","275.19","34.48M","-2.08%"
"11/06/2025","284.75","285.33","288.35","281.14","37.17M","0.15%"
"11/05/2025","284.31","278.87","286.42","277.34","31.01M","2.44%"
"11/04/2025","277.54","276.75","281.27","276.26","30.08M","-2.18%"
"11/03/2025","283.72","282.17","285.53","279.80","29.79M","0.90%"
"10/31/2025","281.19","283.21","286.00","277.03","39.27M","-0.10%"
"10/30/2025","281.48","291.59","291.59","280.06","74.88M","2.52%"
"10/29/2025","274.57","267.75","275.34","267.67","43.58M","2.65%"
"10/28/2025","267.47","269.69","270.73","266.50","29.74M","-0.67%"
"10/27/2025","269.27","264.82","270.14","264.28","35.24M","3.60%"
"10/24/2025","259.92","256.58","261.68","255.32","28.66M","2.70%"
"10/23/2025","253.08","252.98","255.04","251.85","19.90M","0.55%"
"10/22/2025","251.69","254.37","256.36","249.29","35.03M","0.49%"
"10/21/2025","250.46","254.74","254.88","244.15","47.31M","-2.37%"
"10/20/2025","256.55","254.69","257.33","254.23","22.35M","1.28%"
"10/17/2025","253.30","250.76","254.22","247.81","29.67M","0.73%"
"10/16/2025","251.46","251.76","256.96","250.10","28.00M","0.17%"
"10/15/2025","251.03","247.24","252.11","245.99","27.01M","2.27%"
"10/14/2025","245.45","241.23","247.12","240.51","22.11M","0.53%"
"10/13/2025","244.15","240.21","244.50","239.71","25.00M","3.20%"
"10/10/2025","236.57","241.43","244.09","235.84","33.18M","-2.05%"
"10/09/2025","241.53","244.47","244.76","239.15","27.89M","-1.26%"
"10/08/2025","244.62","244.96","246.01","243.82","21.31M","-0.46%"
"10/07/2025","245.76","248.27","250.44","245.52","23.18M","-1.86%"
"10/06/2025","250.43","244.78","251.32","244.58","28.89M","2.07%"
"10/03/2025","245.35","244.49","246.30","241.65","30.25M","-0.14%"
"10/02/2025","245.69","245.15","246.81","242.30","25.48M","0.32%"
"10/01/2025","244.90","240.75","246.30","238.61","31.66M","0.74%"
"09/30/2025","243.10","242.81","243.29","239.24","34.72M","-0.39%"
"09/29/2025","244.05","247.85","251.15","242.77","32.51M","-1.01%"
"09/26/2025","246.54","247.07","249.42","245.97","18.50M","0.31%"
"09/25/2025","245.79","244.40","246.49","240.74","31.02M","-0.55%"
"09/24/2025","247.14","251.66","252.35","246.44","28.20M","-1.80%"
"09/23/2025","251.66","253.04","254.36","250.48","26.63M","-0.34%"
"09/22/2025","252.53","254.43","255.78","250.30","32.29M","-0.86%"
"09/19/2025","254.72","253.25","256.00","251.81","55.57M","1.07%"
"09/18/2025","252.03","251.68","253.99","249.80","31.24M","1.00%"
"09/17/2025","249.53","251.22","251.60","246.28","34.11M","-0.65%"
"09/16/2025","251.16","252.08","253.04","249.47","34.11M","-0.18%"
"09/15/2025","251.61","244.66","252.41","244.66","58.38M","4.49%"
"09/12/2025","240.80","240.37","242.07","238.00","26.77M","0.18%"
"09/11/2025","240.37","239.88","242.25","236.25","30.60M","0.50%"
"09/10/2025","239.17","238.90","241.66","237.85","35.14M","-0.19%"
"09/09/2025","239.63","234.16","240.47","233.23","38.06M","2.39%"
"09/08/2025","234.04","235.47","238.13","233.67","32.47M","-0.41%"
"09/05/2025","235.00","232.20","235.76","231.90","46.59M","1.16%"
"09/04/2025","232.30","229.65","232.37","226.11","51.68M","0.71%"
"09/03/2025","230.66","226.21","231.31","224.79","103.34M","9.14%"
"09/02/2025","211.35","208.44","211.68","206.20","47.52M","-0.73%"
"08/29/2025","212.91","210.51","214.65","210.20","39.73M","0.60%"
"08/28/2025","211.64","207.25","212.22","206.90","32.34M","2.01%"
"08/27/2025","207.48","205.70","208.91","205.65","23.02M","0.16%"
"08/26/2025","207.14","207.51","207.85","205.70","28.46M","-0.65%"
"08/25/2025","208.49","206.43","210.52","205.28","29.93M","1.16%"
"08/22/2025","206.09","202.73","208.54","201.30","42.83M","3.17%"
"08/21/2025","199.75","199.74","202.48","199.43","19.77M","0.22%"
"08/20/2025","199.32","200.73","201.28","196.60","28.96M","-1.12%"
"08/19/2025","201.57","203.03","203.44","199.96","24.24M","-0.95%"
"08/18/2025","203.50","204.20","205.26","202.49","18.53M","-0.20%"
"08/15/2025","203.90","203.85","206.44","201.28","34.93M","0.47%"
"08/14/2025","202.94","201.50","204.44","201.23","25.23M","0.49%"
"08/13/2025","201.96","204.13","204.53","197.51","28.34M","-0.68%"
"08/12/2025","203.34","201.37","204.50","200.59","30.42M","1.16%"
"08/11/2025","201.00","200.93","201.48","199.07","25.83M","-0.21%"
"08/08/2025","201.42","197.22","202.61","197.17","39.16M","2.49%"
"08/07/2025","196.52","197.06","197.54","194.33","26.32M","0.22%"
"08/06/2025","196.09","194.50","196.63","193.67","21.56M","0.73%"
"08/05/2025","194.67","194.71","197.86","193.88","31.60M","-0.19%"
"08/04/2025","195.04","190.29","195.27","190.12","31.55M","3.12%"
"08/01/2025","189.13","189.02","190.83","187.82","34.83M","-1.44%"
"07/31/2025","191.90","195.71","195.99","191.09","51.33M","-2.36%"
"07/30/2025","196.53","195.60","197.60","194.68","32.45M","0.40%"
"07/29/2025","195.75","192.43","195.92","192.08","41.39M","1.65%"
"07/28/2025","192.58","193.65","194.05","190.84","38.14M","-0.31%"
"07/25/2025","193.18","191.98","194.33","191.26","39.79M","0.53%"
"07/24/2025","192.17","197.03","197.95","191.00","74.88M","1.02%"
"07/23/2025","190.23","191.50","192.53","189.18","58.68M","-0.58%"
"07/22/2025","191.34","191.49","191.65","187.46","44.66M","0.65%"
"07/21/2025","190.10","186.25","190.29","186.15","45.80M","2.72%"
"07/18/2025","185.06","185.40","186.42","183.71","34.01M","0.81%"
"07/17/2025","183.58","182.14","184.06","180.48","31.99M","0.33%"
"07/16/2025","182.97","183.24","184.33","182.03","33.10M","0.53%"
"07/15/2025","182.00","182.81","184.22","181.60","33.45M","0.24%"
"07/14/2025","181.56","181.01","183.67","179.68","32.54M","0.76%"
"07/11/2025","180.19","176.79","181.43","176.48","34.28M","1.45%"
"07/10/2025","177.62","175.63","178.43","174.38","29.25M","0.57%"
"07/09/2025","176.62","175.25","179.44","172.77","43.03M","1.30%"
"07/08/2025","174.36","177.85","177.95","172.81","40.44M","-1.37%"
"07/07/2025","176.79","179.06","179.30","175.68","34.18M","-1.53%"
"07/03/2025","179.53","178.50","179.67","177.05","21.69M","0.50%"
"07/02/2025","178.64","175.54","178.86","175.07","29.13M","1.59%"
"07/01/2025","175.84","175.74","176.09","173.53","35.90M","-0.22%"
"06/30/2025","176.23","180.78","181.23","174.58","63.38M","-1.29%"
"06/27/2025","178.53","173.54","178.68","171.73","108.14M","2.88%"
"06/26/2025","173.54","172.43","173.69","169.94","31.80M","1.68%"
"06/25/2025","170.68","167.63","172.36","167.55","35.48M","2.34%"
"06/24/2025","166.77","166.92","168.22","166.13","40.52M","0.96%"
"06/23/2025","165.19","166.27","167.34","162.00","57.67M","-0.87%"
"06/20/2025","166.64","173.95","174.34","165.46","75.66M","-3.85%"
"06/18/2025","173.32","176.01","176.56","173.20","28.71M","-1.49%"
"06/17/2025","175.95","175.70","177.36","174.58","24.97M","-0.46%"
"06/16/2025","176.77","174.73","176.94","174.65","27.39M","1.20%"
"06/13/2025","174.67","172.44","177.13","172.38","27.66M","-0.59%"
"06/12/2025","175.70","176.18","176.72","174.74","20.94M","-0.93%"
"06/11/2025","177.35","179.77","180.37","176.75","31.65M","-0.70%"
"06/10/2025","178.60","176.20","181.10","174.91","61.77M","1.43%"
"06/09/2025","176.09","174.54","176.47","174.37","28.94M","1.39%"
"06/06/2025","173.68","170.83","174.50","170.83","35.73M","3.25%"
"06/05/2025","168.21","170.34","170.93","167.59","36.44M","0.10%"
"06/04/2025","168.05","166.74","168.21","166.36","26.90M","1.13%"
"06/03/2025","166.18","167.49","168.48","165.28","45.08M","-1.69%"
"06/02/2025","169.03","167.84","169.87","167.39","38.61M","-1.58%"
"05/30/2025","171.74","171.35","172.21","167.44","52.64M","-0.07%"
"05/29/2025","171.86","174.00","174.42","170.63","29.37M","-0.29%"
"05/28/2025","172.36","173.16","175.26","171.91","34.78M","-0.31%"
"05/27/2025","172.90","170.16","173.17","170.00","38.00M","2.63%"
"05/23/2025","168.47","169.05","169.96","167.89","35.21M","-1.40%"
"05/22/2025","170.87","171.85","176.77","170.71","74.86M","1.37%"
"05/21/2025","168.56","163.69","173.14","163.56","73.42M","2.79%"
"05/20/2025","163.98","166.43","168.50","162.90","46.61M","-1.54%"
"05/19/2025","166.54","164.51","166.64","164.22","30.43M","0.21%"
"05/16/2025","166.19","167.73","169.35","165.62","42.85M","1.36%"
"05/15/2025","163.96","165.84","166.21","162.37","33.15M","-0.85%"
"05/14/2025","165.37","159.96","167.00","159.61","48.76M","3.66%"
"05/13/2025","159.53","158.79","160.57","156.16","42.38M","0.68%"
"05/12/2025","158.46","157.49","159.10","156.25","44.14M","3.74%"
"05/09/2025","152.75","154.17","155.05","152.20","32.44M","-0.99%"
"05/08/2025","154.28","155.00","155.93","152.90","57.50M","1.92%"
"05/07/2025","151.38","164.08","165.00","147.84","127.75M","-7.26%"
"05/06/2025","163.23","162.17","164.80","161.19","21.28M","-0.60%"
"05/05/2025","164.21","163.00","165.39","162.72","21.34M","0.11%"
"05/02/2025","164.03","163.40","164.97","161.87","25.72M","1.69%"
"05/01/2025","161.30","160.45","161.95","158.91","30.20M","1.57%"
"04/30/2025","158.80","157.98","159.27","155.40","34.98M","-0.85%"
"04/29/2025","160.16","160.32","160.74","157.52","26.81M","-0.28%"
"04/28/2025","160.61","162.43","163.15","158.60","29.75M","-0.83%"
"04/25/2025","161.96","165.07","166.10","161.04","56.03M","1.68%"
"04/24/2025","159.28","156.15","159.59","155.79","45.89M","2.53%"
"04/23/2025","155.35","155.61","157.52","153.81","31.13M","2.56%"
"04/22/2025","151.47","148.89","152.19","148.54","26.97M","2.57%"
"04/21/2025","147.67","148.88","148.95","146.10","26.05M","-2.31%"
"04/17/2025","151.16","154.29","154.68","148.50","33.05M","-1.42%"
"04/16/2025","153.33","153.10","155.89","151.51","28.19M","-1.91%"
"04/15/2025","156.31","159.13","159.65","155.21","27.55M","-1.74%"
"04/14/2025","159.07","159.99","161.72","157.56","30.33M","1.23%"
"04/11/2025","157.14","152.90","157.67","152.82","33.64M","2.83%"
"04/10/2025","152.82","156.54","157.72","149.93","48.02M","-3.71%"
"04/09/2025","158.71","144.41","159.55","143.90","70.41M","9.68%"
"04/08/2025","144.70","151.22","152.24","143.03","52.20M","-1.40%"
"04/07/2025","146.75","141.55","152.85","140.53","76.79M","0.79%"
"04/04/2025","145.60","148.01","151.07","145.38","62.26M","-3.40%"
"04/03/2025","150.72","151.11","152.78","150.39","46.88M","-4.02%"
"04/02/2025","157.04","155.15","158.41","154.70","25.04M","-0.02%"
"04/01/2025","157.07","153.62","158.10","153.62","30.67M","1.57%"
"03/31/2025","154.64","153.11","155.54","150.66","54.60M","0.20%"
"03/28/2025","154.33","160.49","161.82","153.63","48.67M","-4.88%"
"03/27/2025","162.24","164.63","165.42","162.00","24.51M","-1.71%"
"03/26/2025","165.06","169.00","169.61","164.84","28.94M","-3.22%"
"03/25/2025","170.56","168.98","170.63","168.32","24.17M","1.72%"
"03/24/2025","167.68","167.07","168.32","165.14","30.88M","2.25%"
"03/21/2025","163.99","161.21","164.24","160.89","36.63M","0.73%"
"03/20/2025","162.80","161.57","164.89","160.96","28.14M","-0.67%"
"03/19/2025","163.89","161.76","165.87","161.00","34.28M","2.00%"
"03/18/2025","160.67","163.68","164.25","156.72","42.07M","-2.20%"
"03/17/2025","164.29","165.03","166.30","163.67","31.18M","-0.73%"
"03/14/2025","165.49","163.27","166.49","162.45","32.00M","1.68%"
"03/13/2025","162.76","166.04","166.13","162.11","31.76M","-2.60%"
"03/12/2025","167.11","166.58","167.64","163.53","28.37M","1.87%"
"03/11/2025","164.04","164.91","166.75","161.37","39.59M","-1.10%"
"03/10/2025","165.87","168.26","168.46","163.69","43.60M","-4.60%"
"03/07/2025","173.86","171.26","174.97","170.27","27.39M","0.88%"
"03/06/2025","172.35","170.53","174.81","170.50","28.30M","-0.39%"
"03/05/2025","173.02","170.52","173.78","169.06","30.95M","1.23%"
"03/04/2025","170.92","166.24","173.29","165.80","45.39M","2.34%"
"03/03/2025","167.01","171.93","173.37","165.93","40.77M","-1.92%"
"02/28/2025","170.28","168.68","170.61","166.77","48.13M","1.06%"
"02/27/2025","168.50","173.99","174.56","167.94","39.99M","-2.45%"
"02/26/2025","172.73","175.07","176.08","171.58","35.43M","-1.53%"
"02/25/2025","175.42","178.04","178.74","174.69","41.91M","-2.14%"
"02/24/2025","179.25","181.99","183.12","178.88","29.85M","-0.23%"
"02/21/2025","179.66","185.15","185.34","179.08","35.20M","-2.65%"
"02/20/2025","184.56","184.80","185.31","182.72","20.44M","-0.38%"
"02/19/2025","185.27","184.07","185.46","183.59","19.55M","0.82%"
"02/18/2025","183.77","185.60","185.96","181.74","29.92M","-0.79%"
"02/14/2025","185.23","185.05","186.40","184.32","20.45M","-0.49%"
"02/13/2025","186.14","184.32","186.28","183.14","21.40M","1.38%"
"02/12/2025","183.61","183.22","185.11","181.83","22.07M","-0.92%"
"02/11/2025","185.32","185.03","186.94","184.28","21.24M","-0.62%"
"02/10/2025","186.47","187.35","188.20","185.86","23.11M","0.61%"
"02/07/2025","185.34","191.05","191.18","183.24","49.31M","-3.27%"
"02/06/2025","191.60","189.50","192.10","188.72","29.30M","0.14%"
"02/05/2025","191.33","191.07","192.75","188.03","70.46M","-7.29%"
"02/04/2025","206.38","203.39","207.05","202.81","43.86M","2.56%"
"02/03/2025","201.23","200.69","203.75","200.10","27.84M","-1.37%"
"01/31/2025","204.02","202.00","205.48","201.80","32.04M","1.57%"
"01/30/2025","200.87","198.00","201.40","197.67","24.35M","2.79%"
"01/29/2025","195.41","195.55","196.79","193.43","18.22M","0.06%"
"01/28/2025","195.30","192.74","195.48","190.68","24.16M","1.82%"
"01/27/2025","191.81","192.41","196.88","190.73","41.73M","-4.20%"
"01/24/2025","200.21","198.10","200.90","198.00","23.88M","1.13%"
"01/23/2025","197.98","198.14","200.30","195.20","26.95M","-0.20%"
"01/22/2025","198.37","199.06","200.48","197.53","26.20M","0.16%"
"01/21/2025","198.05","199.07","202.29","197.87","29.97M","1.05%"
"01/17/2025","196.00","196.53","197.23","193.75","27.74M","1.60%"
"01/16/2025","192.91","194.14","195.48","192.81","17.82M","-1.35%"
"01/15/2025","195.55","193.09","196.36","191.86","21.78M","3.11%"
"01/14/2025","189.66","191.24","191.98","188.31","17.17M","-0.71%"
"01/13/2025","191.01","190.07","191.18","187.36","21.82M","-0.54%"
"01/10/2025","192.04","194.29","196.52","190.31","26.67M","-0.98%"
"01/08/2025","193.95","192.57","196.29","192.38","24.86M","-0.79%"
"01/07/2025","195.49","197.11","201.00","194.60","26.49M","-0.70%"
"01/06/2025","196.87","193.98","198.22","193.85","29.56M","2.65%"
"01/03/2025","191.79","191.37","193.21","189.98","18.60M","1.25%"
"01/02/2025","189.43","190.65","192.00","187.50","20.37M","0.07%"
"12/31/2024","189.30","191.07","191.96","188.51","17.47M","-1.01%"
"12/30/2024","191.24","189.80","192.55","189.12","14.26M","-0.79%"
"12/27/2024","192.76","194.95","195.32","190.65","18.89M","-1.45%"
"12/26/2024","195.60","195.15","196.75","194.38","12.06M","-0.26%"
"12/24/2024","196.11","194.84","196.11","193.78","10.40M","0.76%"
"12/23/2024","194.63","192.62","195.10","190.15","25.68M","1.68%"
"12/20/2024","191.41","185.78","192.89","185.22","63.46M","1.54%"
"12/19/2024","188.51","191.63","193.03","188.38","32.27M","0.06%"
"12/18/2024","188.40","195.22","197.00","187.74","34.17M","-3.59%"
"12/17/2024","195.42","197.25","201.42","194.98","43.50M","-0.63%"
"12/16/2024","196.66","192.87","199.00","192.62","44.93M","3.60%"
"12/13/2024","189.82","191.01","192.73","189.64","25.14M","-1.11%"
"12/12/2024","191.96","195.00","195.18","191.71","34.82M","-1.76%"
"12/11/2024","195.40","185.31","195.61","184.85","67.89M","5.52%"
"12/10/2024","185.17","182.85","186.36","181.05","54.81M","5.59%"
"12/09/2024","175.37","173.96","176.26","173.65","25.39M","0.38%"
"12/06/2024","174.71","172.03","175.08","171.86","21.46M","1.20%"
"12/05/2024","172.64","175.36","176.06","172.33","21.36M","-0.99%"
"12/04/2024","174.37","171.15","174.91","171.06","31.62M","1.77%"
"12/03/2024","171.34","171.49","172.68","170.85","22.25M","-0.09%"
"12/02/2024","171.49","168.76","172.07","168.57","23.79M","1.50%"
"11/29/2024","168.95","168.50","169.43","167.16","14.26M","-0.17%"
"11/27/2024","169.23","169.00","169.48","168.02","19.27M","0.07%"
"11/26/2024","169.12","167.63","169.82","167.58","20.49M","0.88%"
"11/25/2024","167.65","166.09","168.63","165.61","33.14M","1.75%"
"11/22/2024","164.76","165.85","166.46","163.90","38.60M","-1.71%"
"11/21/2024","167.63","173.90","174.13","163.70","59.73M","-4.74%"
"11/20/2024","175.98","177.34","177.68","173.78","19.00M","-1.20%"
"11/19/2024","178.12","173.72","178.87","173.56","23.43M","1.61%"
"11/18/2024","175.30","173.42","175.44","172.90","20.21M","1.63%"
"11/15/2024","172.49","173.73","174.14","171.22","32.50M","-1.76%"
"11/14/2024","175.58","178.28","178.82","174.32","31.01M","-1.84%"
"11/13/2024","178.88","180.46","180.96","178.54","23.18M","-1.51%"
"11/12/2024","181.62","179.82","182.49","179.39","25.13M","0.70%"
"11/11/2024","180.35","178.58","180.54","178.47","17.45M","1.12%"
"11/08/2024","178.35","180.65","180.90","178.08","22.01M","-1.33%"
"11/07/2024","180.75","177.41","181.08","177.19","25.35M","2.40%"
"11/06/2024","176.51","173.80","176.94","173.50","33.70M","3.99%"
"11/05/2024","169.74","169.43","170.53","168.84","18.24M","0.30%"
"11/04/2024","169.24","169.93","170.73","168.01","21.49M","-1.20%"
"11/01/2024","171.29","170.07","172.32","168.88","31.80M","0.11%"
"10/31/2024","171.11","173.13","176.82","171.00","44.77M","-1.92%"
