Date,Price,Open,High,Low,Vol.,Change %,Close,Volume,MA10,MA50,Returns,Volatility,RSI,MACD,UpperBand,LowerBand
2021-09-28,20.7,21.21,21.42,20.65,343.07M,-4.43%,20.7,343070000.0,21.77,20.9894,-0.04432132963988922,0.024606527376421827,34.70149253731344,0.09356625172125277,23.169359377651286,21.012640622348716
2021-09-29,20.52,20.94,21.02,20.47,218.39M,-0.87%,20.52,218390000.0,21.588,21.027600000000003,-0.008695652173912993,0.024280539244712834,34.57249070631971,-0.01197951608312664,23.272966890779106,20.72203310922089
2021-09-30,20.72,20.77,21.07,20.69,221.01M,0.97%,20.72,221010000.0,21.436,21.053800000000003,0.00974658869395717,0.024930472834843367,33.33333333333333,-0.07858113454999938,23.289191050845204,20.53380894915479
2021-10-01,20.74,20.75,20.86,20.2,240.98M,0.10%,20.74,240980000.0,21.32,21.076800000000002,0.0009652509652509078,0.024843340672712756,35.814889336016094,-0.1282709366588044,23.280297796563033,20.376702203436963
2021-10-04,19.73,20.5,20.54,19.55,345.63M,-4.87%,19.73,345630000.0,21.182,21.0802,-0.04869816779170677,0.026830841717907235,28.69269949066215,-0.24630971681061453,23.321515759865918,20.02448424013408
2021-10-05,20.45,19.95,20.65,19.85,279.28M,3.65%,20.45,279280000.0,21.101999999999997,21.103399999999997,0.036492650785605596,0.029926664203536277,35.48387096774192,-0.27854739679496276,23.228631668519053,19.896368331480947
2021-10-06,20.7,20.12,20.72,20.08,297.20M,1.22%,20.7,297200000.0,20.978,21.133200000000002,0.012224938875305513,0.027840647397354052,38.438438438438446,-0.2806874891269189,23.146942476149647,19.81405752385035
2021-10-07,21.07,21.09,21.32,20.97,256.92M,1.79%,21.07,256920000.00000003,20.837,21.1646,0.017874396135265647,0.02710403578325366,43.79671150971601,-0.24964981230293048,23.06711032387883,19.782889676121165
2021-10-08,20.83,21.1,21.21,20.77,151.26M,-1.14%,20.83,151260000.0,20.711999999999996,21.188000000000002,-0.011390602752729073,0.02687233099633871,47.71986970684038,-0.24163283117527357,22.92619155689117,19.758808443108833
2021-10-11,20.7,20.57,21.06,20.51,163.39M,-0.62%,20.7,163390000.0,20.616,21.212,-0.006240998559769562,0.026457567158786315,45.513866231647626,-0.24296844047781363,22.830634149110022,19.709365850889977
2021-10-12,20.67,20.83,21.06,20.53,162.13M,-0.14%,20.67,162130000.0,20.613,21.2304,-0.0014492753623187582,0.02239652227559171,38.39122486288848,-0.24363914929914543,22.703894754929006,19.67910524507099
